distance,pace,Label
2,8.22,january
4.1,9.14,february
1.55,8.2,february
2.77,8.27,february
3,8.23,march
2.55,9.24,march
2.52,8.09,march
2.12,8.48,march
2.1,8.08,march
3.37,9.55,march
3.41,11.56,march
3.02,8.45,april
1.86,9.08,april
2.65,7.53,april
2.01,8.29,april
2.4,8.33,april
3.03,8.51,april
3.02,9.12,may
0.51,7.57,may
1.01,8.41,june
2.16,8.14,june
1.89,8.51,june
2.03,9.14,june
2.23,9.33,june
2.91,9.09,june
2.52,8.58,july
3.01,9.03,july
3.01,9.55,july
2.51,9.2,august
0.16,10.37,august
3.14,10.34,august
3.15,9.46,august